		MENU 			FOOD COST ( AS PER HYPER PURE INVENTORY )					INGREDIENT AS PER RECEIPE AND WEIGHT							
Greek Roman Veg Salad					35.28		3.12	1.76	6.8	6.8	3	2	1	10.8			
Grilled Chicken					45	21	10.5	0.12	0.76	0.5							
Grilled Chicken Club Sandwich (o)					64.12	18	21	3	1	6.24	3	5	0.12	0.76	6		
Grilled Chicken With Brown Rice And Veggies					40												
Grilled Chicken With Sautéed Vegetable And Mash Potato High Protein					47.07	25	1.2	0.12	0.76	1.45	7	4	1.54	4	2		
Grilled Paneer Salad					42.64	24	0.12	0.76	0.5	0.76	4	4	2	1	3	2.5	
Grilled Paneer Sandwich With Ranch Yoghurt					47.63	6	6	20	3	1	1.76	1.76	1.2	5	0.76	0.5	0.12
Grilled Paneer With Brown Rice And Veggies					45.58	24	7	6	0.12	0.76	0.5	0.75	1.45	5			
Grilled Paneer With Sauteed Veggies					37.58	10	0.12	0.76	0.5	0.75	1.45	24					
Grilled Veggie Sandwich With Ranch Yoghurt					32	12	2	3	5	10							
Healthy Liver Juice					15												
Healthy Whole Wheat Chicken Tikka Wrap					48.78	12	25	1	3	3	0.75	0.5	0.76	0.12	1.2	1.45	
Healthy Whole Wheat Paneer Wrap					47.78	12	24	1	3	3	0.75	0.5	0.76	0.12	1.2	1.45	
High Protein Chicken Omelette (o)					39.13	12	6	1	0.12	0.76	1	1.45	16.8				
Hot N Sour (o) (Veg)					20 (tentative )												
Hot N Sour (o) (Chicken)					40(tentative)												
Hummus Pita Classic					9.6	4.1	2.5	3									
Hummus Pita With Falafel					UPDATE LATER												
Hydrating Watermelon Juice					10 ( tentative )		2	1									
Lebanese Hummus Salad (o)					18.1	4.1	2	1	3	3	2	3					
Manchow (o) (Veg)					20 (tentative )												
Manchow (o) (Chicken)					40(tentative)												
Masala Bread Omelette (2 Egg) (o)					25.33	6	12	0.12	0.76	2	3	6	1.45				
Mix Berry Smoothie (High Protein)					72.5	20	5.5	41	6								
Moong Dal Chilla With Curd (o)					26.97	10.6	5.5	0.12	0.3	1.45	5	2	2				
Mushroom Omelette (o)					30.33	6	6	6	0.12	0.76	1.45	10					
Paneer Tikka Burrito Wrap					52.78	11	24	1	3	2	0.12	0.5	1.48	1.48	1.45	4	0.75
Peanut Butter Banana Smoothie					UPDATE LATER												
Peri Peri Paneer Burrito Wrap					52.78												
Peri Peri Paneer Fiesta Rice Bowl					52.09												
Pesto Pasta (o) (Veg)					50.78	17	7	1.45	1.2	0.12	0.76	0.75	0.5	2	20		
Pesto Pasta (o) (Chicken)					64.78	17	21	1.45	1.2	0.12	0.76	0.75	0.5	2	20		
